Date,NEL deaths (cumulative),NEL discharges (cumulative),NEL Hospitalisations (all),NEL Hospitalisations (critical)
01/03/2020,0,0,0,0
02/03/2020,0,0,0,0
03/03/2020,0,0,0,0
04/03/2020,0,0,0,0
05/03/2020,0,0,0,0
06/03/2020,1,0,0,0
07/03/2020,1,0,0,0
08/03/2020,1,0,0,0
09/03/2020,1,0,0,0
10/03/2020,1,0,0,0
11/03/2020,3,0,1,1
12/03/2020,4,0,1,1
13/03/2020,8,0,4,3
14/03/2020,12,0,24,15
15/03/2020,15,0,37,23
16/03/2020,17,0,51,24
17/03/2020,22,0,58,17
18/03/2020,26,1,77,14
19/03/2020,28,11,100,19
20/03/2020,35,22,128,23
21/03/2020,39,31,123,45
22/03/2020,45,39,153,59
23/03/2020,56,51,191,46
24/03/2020,71,83,229,48
25/03/2020,91,118,262,54
26/03/2020,114,163,300,56
27/03/2020,136,205,398,75
28/03/2020,157,242,470,84
29/03/2020,192,297,528,115
30/03/2020,218,335,540,118
31/03/2020,246,413,632,137
01/04/2020,288,482,698,128
02/04/2020,325,572,705,128
03/04/2020,360,647,768,153
04/04/2020,401,732,831,180
05/04/2020,437,817,857,184
06/04/2020,479,897,829,177
07/04/2020,526,1027,901,180
08/04/2020,578,1141,891,185
09/04/2020,623,1253,891,192
10/04/2020,659,1369,886,234
11/04/2020,689,1474,850,220
12/04/2020,728,1558,820,219
13/04/2020,763,1636,793,215
14/04/2020,792,1740,778,206
15/04/2020,823,1848,762,213
16/04/2020,847,1945,730,212
17/04/2020,870,2039,718,209
18/04/2020,894,2107,672,204
19/04/2020,920,2162,623,189
20/04/2020,945,2233,609,200
21/04/2020,964,2310,569,183
22/04/2020,981,2373,540,178
23/04/2020,994,2436,513,182
24/04/2020,1007,2482,463,181
25/04/2020,1014,2511,491,183
26/04/2020,1024,2538,492,181
27/04/2020,1031,2589,532,173
28/04/2020,1035,2633,424,156
29/04/2020,1046,2685,453,153
30/04/2020,1052,2729,439,151
01/05/2020,1059,2769,412,147
02/05/2020,1067,2805,401,128
03/05/2020,1072,2824,374,119
04/05/2020,1081,2864,364,110
05/05/2020,1085,2905,348,124
06/05/2020,1095,2945,319,111
07/05/2020,1102,2981,292,110
08/05/2020,1107,2999,282,98
09/05/2020,1114,3015,273,97
10/05/2020,1116,3030,270,90
11/05/2020,1120,3045,260,82
12/05/2020,1124,3074,266,71
13/05/2020,1125,3096,255,66
14/05/2020,1127,3115,240,64
15/05/2020,1130,3134,249,72
16/05/2020,1137,3149,250,71
17/05/2020,1141,3165,237,75
18/05/2020,1142,3186,230,73
19/05/2020,1144,3202,217,62
20/05/2020,1151,3233,203,65
21/05/2020,1155,3253,196,62
22/05/2020,1158,3272,188,59
23/05/2020,1159,3285,187,58
24/05/2020,1159,3293,181,51
25/05/2020,1161,3300,179,54
26/05/2020,1163,3313,186,51
27/05/2020,1166,3339,184,50
28/05/2020,1166,3359,172,50
29/05/2020,1166,3379,154,45
30/05/2020,1168,3388,148,49
31/05/2020,1168,3396,149,46
01/06/2020,1171,3413,139,33
02/06/2020,1171,3430,136,30
03/06/2020,1172,3443,128,29
04/06/2020,1176,3456,128,25
05/06/2020,1177,3475,125,22
06/06/2020,1177,3491,116,22
07/06/2020,1177,3495,115,16
08/06/2020,1178,3502,116,19
09/06/2020,1178,3508,117,15
10/06/2020,1181,3531,125,16
11/06/2020,1181,3547,104,15
12/06/2020,1182,3556,106,16
13/06/2020,1182,3561,97,16
14/06/2020,1183,3563,98,16
15/06/2020,1183,3574,100,14
16/06/2020,1183,3591,99,14
17/06/2020,1183,3606,103,16
18/06/2020,1184,3619,93,15
19/06/2020,1185,3629,93,19
20/06/2020,1188,3640,92,16
21/06/2020,1189,3648,82,16
22/06/2020,1189,3663,84,14
23/06/2020,1189,3673,77,14
24/06/2020,1189,3682,80,13
25/06/2020,1189,3682,80,13
26/06/2020,1189,3704,79,12
27/06/2020,1190,3712,75,11
28/06/2020,1190,3716,73,12
29/06/2020,1190,3726,74,12
30/06/2020,1190,3745,86,15
01/07/2020,1190,3757,46,10
02/07/2020,1190,3768,41,9
03/07/2020,1190,3781,39,9
04/07/2020,1190,3792,38,12
05/07/2020,1190,3793,38,8
,,,,
