c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,0.00139503,0,0,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.02,0.00464948,4.301556303,0.003256,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.04,0.00790392,5.060779967,0.006512,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.06,0.0111584,5.377114999,0.009768,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.08,0.0144128,5.55062167,0.013024,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.1,0.0176672,5.660206484,0.01628,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.12,0.0209217,5.735671575,0.019536,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.14,0.0241761,5.790843023,0.022792,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.16,0.0274305,5.832923206,0.026048,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.18,0.0306849,5.866077452,0.029304,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.2,0.0339394,5.892856091,0.03256,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.22,0.0371938,5.914964322,0.035816,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.24,0.0404482,5.933514965,0.039072,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.26,0.0437026,5.949302787,0.042328,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.28,0.046957,5.96290223,0.045584,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.3,0.0502114,5.974738804,0.04884,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.32,0.0534658,5.985134422,0.052096,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.34,0.0567202,5.994337114,0.055352,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.36,0.0599746,6.002541076,0.058608,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.38,0.063229,6.00990052,0.061864,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.4,0.0664834,6.016539467,0.06512,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.42,0.0697378,6.022558784,0.068376,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.44,0.0729922,6.028041352,0.071632,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.46,0.0762466,6.0330559,0.074888,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.48,0.079501,6.037659904,0.078144,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.5,0.0827554,6.041901797,0.0814,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.52,0.0860098,6.045822685,0.084656,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.54,0.0892641,6.049464454,0.087912,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.56,0.0925185,6.052843485,0.091168,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.58,0.0957729,6.055992875,0.094424,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.6,0.0990273,6.058935263,0.09768,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
0.62,0.102282,6.061672631,0.100936,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
