c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,0.00165688,0,0,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.02,0.00583172,3.429519936,0.00417585,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.04,0.0100065,3.997401689,0.0083517,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.06,0.0141814,4.230893988,0.01252755,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.08,0.0183562,4.358200499,0.0167034,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.1,0.022531,4.438329413,0.02087925,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.12,0.0267058,4.493405927,0.0250551,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.14,0.0308806,4.533590669,0.02923095,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.16,0.0350554,4.564204088,0.0334068,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.18,0.0392302,4.588301869,0.03758265,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.2,0.043405,4.607764082,0.0417585,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.22,0.0475797,4.623820663,0.04593435,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.24,0.0517545,4.637277918,0.0501102,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.26,0.0559293,4.64872616,0.05428605,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.28,0.060104,4.658591774,0.0584619,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.3,0.0642788,4.667168647,0.06263775,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.32,0.0684535,4.674706187,0.0668136,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.34,0.0726283,4.68137076,0.07098945,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.36,0.076803,4.687316902,0.0751653,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.38,0.0809778,4.692644157,0.07934115,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.4,0.0851525,4.697454567,0.083517,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.42,0.0893272,4.701815349,0.08769285,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.44,0.0935019,4.705786727,0.0918687,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.46,0.0976766,4.709418633,0.09604455,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.48,0.101851,4.712766689,0.1002204,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.5,0.106026,4.71582442,0.10439625,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.52,0.110201,4.718650466,0.1085721,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.54,0.114375,4.721311475,0.11274795,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.56,0.11855,4.723745255,0.1169238,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.58,0.122725,4.726013445,0.12109965,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.6,0.126899,4.728169647,0.1252755,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.62,0.131074,4.730152433,0.12945135,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.64,0.135249,4.732012806,0.1336272,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.66,0.139423,4.733795715,0.13780305,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.68,0.143598,4.735441998,0.1419789,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.7,0.147773,4.736995256,0.14615475,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.72,0.151947,4.738494343,0.1503306,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.74,0.156122,4.739882912,0.15450645,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.76,0.160297,4.741199149,0.1586823,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.78,0.164471,4.742477397,0.16285815,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.8,0.168646,4.743664243,0.167034,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.82,0.17282,4.744821201,0.17120985,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.84,0.176995,4.745896777,0.1753857,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.86,0.18117,4.74692278,0.17956155,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.88,0.185344,4.747928177,0.1837374,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.9,0.189519,4.74886423,0.18791325,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.92,0.193693,4.749784453,0.1920891,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.94,0.197868,4.750641842,0.19626495,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.96,0.202043,4.751463797,0.2004408,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
0.98,0.206217,4.752275516,0.20461665,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1,0.210392,4.753032435,0.2087925,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.02,0.214566,4.753782053,0.21296835,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.04,0.218741,4.754481327,0.2171442,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.06,0.222915,4.75517574,0.22132005,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.08,0.22709,4.755823682,0.2254959,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.1,0.231264,4.756468798,0.22967175,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.12,0.235439,4.757070834,0.2338476,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.14,0.239614,4.75765189,0.23802345,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.16,0.243788,4.758232563,0.2421993,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.18,0.247963,4.758774495,0.24637515,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.2,0.252137,4.759317355,0.250551,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.22,0.256312,4.759823965,0.25472685,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.24,0.260486,4.760332609,0.2589027,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.26,0.264661,4.760807221,0.26307855,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.28,0.268835,4.761284803,0.2672544,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.3,0.27301,4.76173034,0.27143025,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.32,0.277184,4.762179635,0.2756061,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.34,0.281358,4.7626156,0.27978195,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.36,0.285533,4.763022138,0.2839578,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.38,0.289707,4.7634334,0.28813365,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
1.4,0.293882,4.76381677,0.2923095,2020-07-04,46.717,2300,2450,2900,2020-07-04,14.9141,275,420,860
