c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,0.00141406,0,0,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.02,0.00493306,4.054278683,0.00352035,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.04,0.00845206,4.732574071,0.0070407,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.06,0.0119711,5.012070737,0.01056105,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.08,0.01549,5.164622337,0.0140814,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.1,0.019009,5.260666,0.01760175,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.12,0.022528,5.326704545,0.0211221,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.14,0.026047,5.374899221,0.02464245,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.16,0.029566,5.411621457,0.0281628,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.18,0.0330849,5.440548407,0.03168315,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.2,0.0366039,5.463898656,0.0352035,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.22,0.0401229,5.483153012,0.03872385,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.24,0.0436419,5.499302276,0.0422442,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.26,0.0471608,5.513053214,0.04576455,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.28,0.0506798,5.524883681,0.0492849,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.3,0.0541987,5.535188113,0.05280525,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.32,0.0577177,5.544226468,0.0563256,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.34,0.0612366,5.552235101,0.05984595,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.36,0.0647556,5.55936475,0.0633663,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
0.38,0.0682745,5.5657676,0.06688665,2020-07-04,44.1415,2300,2450,2900,2020-07-04,14.3513,275,420,860
